ID,Name,Description,ColumnSpec,Bodypart,Object,Feature_Spec
BoneAndRope,Colexification of BONE and ROPE,Computes if the concepts BONE and ROPE are expressed with the same form in a language (i.e. they are colexified),,BONE,ROPE,
BoneAndSeed,Colexification of BONE and SEED,Computes if the concepts BONE and SEED are expressed with the same form in a language (i.e. they are colexified),,BONE,SEED,
BoneAndShell,Colexification of BONE and SHELL,Computes if the concepts BONE and SHELL are expressed with the same form in a language (i.e. they are colexified),,BONE,SHELL,
BoneAndStick,Colexification of BONE and STICK,Computes if the concepts BONE and STICK are expressed with the same form in a language (i.e. they are colexified),,BONE,STICK,
BoneAndThorn,Colexification of BONE and THORN,Computes if the concepts BONE and THORN are expressed with the same form in a language (i.e. they are colexified),,BONE,THORN,
BoneAndTree,Colexification of BONE and TREE,Computes if the concepts BONE and TREE are expressed with the same form in a language (i.e. they are colexified),,BONE,TREE,
ButtocksAndBottom,Colexification of BUTTOCKS and BOTTOM,Computes if the concepts BUTTOCKS and BOTTOM are expressed with the same form in a language (i.e. they are colexified),,BUTTOCKS,BOTTOM,
EarAndEarring,Colexification of EAR and EARRING,Computes if the concepts EAR and EARRING are expressed with the same form in a language (i.e. they are colexified),,EAR,EARRING,
EarAndLeaf,Colexification of EAR and LEAF,Computes if the concepts EAR and LEAF are expressed with the same form in a language (i.e. they are colexified),,EAR,LEAF,
ElbowAndCorner,Colexification of ELBOW and CORNER,Computes if the concepts ELBOW and CORNER are expressed with the same form in a language (i.e. they are colexified),,ELBOW,CORNER,
EyeAndFire,Colexification of EYE and FIRE,Computes if the concepts EYE and FIRE are expressed with the same form in a language (i.e. they are colexified),,EYE,FIRE,
EyeAndFruit,Colexification of EYE and FRUIT,Computes if the concepts EYE and FRUIT are expressed with the same form in a language (i.e. they are colexified),,EYE,FRUIT,
EyeAndSeed,Colexification of EYE and SEED,Computes if the concepts EYE and SEED are expressed with the same form in a language (i.e. they are colexified),,EYE,SEED,
EyeAndTree,Colexification of EYE and TREE,Computes if the concepts EYE and TREE are expressed with the same form in a language (i.e. they are colexified),,EYE,TREE,
FaceAndEdge,Colexification of FACE and EDGE,Computes if the concepts FACE and EDGE are expressed with the same form in a language (i.e. they are colexified),,FACE,EDGE,
FingernailAndFork,Colexification of FINGERNAIL and FORK,Computes if the concepts FINGERNAIL and FORK are expressed with the same form in a language (i.e. they are colexified),,FINGERNAIL,FORK,
FingernailAndNailtool,Colexification of FINGERNAIL and NAIL (TOOL),Computes if the concepts FINGERNAIL and NAIL (TOOL) are expressed with the same form in a language (i.e. they are colexified),,FINGERNAIL,NAIL (TOOL),
FingernailAndStar,Colexification of FINGERNAIL and STAR,Computes if the concepts FINGERNAIL and STAR are expressed with the same form in a language (i.e. they are colexified),,FINGERNAIL,STAR,
FootAndShoe,Colexification of FOOT and SHOE,Computes if the concepts FOOT and SHOE are expressed with the same form in a language (i.e. they are colexified),,FOOT,SHOE,
FootAndWheel,Colexification of FOOT and WHEEL,Computes if the concepts FOOT and WHEEL are expressed with the same form in a language (i.e. they are colexified),,FOOT,WHEEL,
ForeheadAndCape,Colexification of FOREHEAD and CAPE,Computes if the concepts FOREHEAD and CAPE are expressed with the same form in a language (i.e. they are colexified),,FOREHEAD,CAPE,
HairAndLeaf,Colexification of HAIR and LEAF,Computes if the concepts HAIR and LEAF are expressed with the same form in a language (i.e. they are colexified),,HAIR,LEAF,
HairbodyAndLeaf,Colexification of HAIR (BODY) and LEAF,Computes if the concepts HAIR (BODY) and LEAF are expressed with the same form in a language (i.e. they are colexified),,HAIR (BODY),LEAF,
HairheadAndLeaf,Colexification of HAIR (HEAD) and LEAF,Computes if the concepts HAIR (HEAD) and LEAF are expressed with the same form in a language (i.e. they are colexified),,HAIR (HEAD),LEAF,
HandAndEgg,Colexification of HAND and EGG,Computes if the concepts HAND and EGG are expressed with the same form in a language (i.e. they are colexified),,HAND,EGG,
HandAndMountain,Colexification of HAND and MOUNTAIN,Computes if the concepts HAND and MOUNTAIN are expressed with the same form in a language (i.e. they are colexified),,HAND,MOUNTAIN,
HeadAndBranch,Colexification of HEAD and BRANCH,Computes if the concepts HEAD and BRANCH are expressed with the same form in a language (i.e. they are colexified),,HEAD,BRANCH,
HeadAndCape,Colexification of HEAD and CAPE,Computes if the concepts HEAD and CAPE are expressed with the same form in a language (i.e. they are colexified),,HEAD,CAPE,
HeadAndGourd,Colexification of HEAD and GOURD,Computes if the concepts HEAD and GOURD are expressed with the same form in a language (i.e. they are colexified),,HEAD,GOURD,
HeadAndRoof,Colexification of HEAD and ROOF,Computes if the concepts HEAD and ROOF are expressed with the same form in a language (i.e. they are colexified),,HEAD,ROOF,
HeadAndSummit,Colexification of HEAD and SUMMIT,Computes if the concepts HEAD and SUMMIT are expressed with the same form in a language (i.e. they are colexified),,HEAD,SUMMIT,
HeadAndTipofobject,Colexification of HEAD and TIP (OF OBJECT),Computes if the concepts HEAD and TIP (OF OBJECT) are expressed with the same form in a language (i.e. they are colexified),,HEAD,TIP (OF OBJECT),
HeadAndTop,Colexification of HEAD and TOP,Computes if the concepts HEAD and TOP are expressed with the same form in a language (i.e. they are colexified),,HEAD,TOP,
HeartAndFirewood,Colexification of HEART and FIREWOOD,Computes if the concepts HEART and FIREWOOD are expressed with the same form in a language (i.e. they are colexified),,HEART,FIREWOOD,
HipAndSide,Colexification of HIP and SIDE,Computes if the concepts HIP and SIDE are expressed with the same form in a language (i.e. they are colexified),,HIP,SIDE,
IntestinesAndBed,Colexification of INTESTINES and BED,Computes if the concepts INTESTINES and BED are expressed with the same form in a language (i.e. they are colexified),,INTESTINES,BED,
IntestinesAndSausage,Colexification of INTESTINES and SAUSAGE,Computes if the concepts INTESTINES and SAUSAGE are expressed with the same form in a language (i.e. they are colexified),,INTESTINES,SAUSAGE,
KidneyAndSeed,Colexification of KIDNEY and SEED,Computes if the concepts KIDNEY and SEED are expressed with the same form in a language (i.e. they are colexified),,KIDNEY,SEED,
LegAndAnthill,Colexification of LEG and ANTHILL,Computes if the concepts LEG and ANTHILL are expressed with the same form in a language (i.e. they are colexified),,LEG,ANTHILL,
LegAndSky,Colexification of LEG and SKY,Computes if the concepts LEG and SKY are expressed with the same form in a language (i.e. they are colexified),,LEG,SKY,
LegAndTree,Colexification of LEG and TREE,Computes if the concepts LEG and TREE are expressed with the same form in a language (i.e. they are colexified),,LEG,TREE,
LegAndTreetrunk,Colexification of LEG and TREE TRUNK,Computes if the concepts LEG and TREE TRUNK are expressed with the same form in a language (i.e. they are colexified),,LEG,TREE TRUNK,
LipAndEdge,Colexification of LIP and EDGE,Computes if the concepts LIP and EDGE are expressed with the same form in a language (i.e. they are colexified),,LIP,EDGE,
LipAndShore,Colexification of LIP and SHORE,Computes if the concepts LIP and SHORE are expressed with the same form in a language (i.e. they are colexified),,LIP,SHORE,
LipAndShoreoflake,Colexification of LIP and SHORE OF LAKE,Computes if the concepts LIP and SHORE OF LAKE are expressed with the same form in a language (i.e. they are colexified),,LIP,SHORE OF LAKE,
LiverAndTree,Colexification of LIVER and TREE,Computes if the concepts LIVER and TREE are expressed with the same form in a language (i.e. they are colexified),,LIVER,TREE,
LungAndLake,Colexification of LUNG and LAKE,Computes if the concepts LUNG and LAKE are expressed with the same form in a language (i.e. they are colexified),,LUNG,LAKE,
MouthAndDoor,Colexification of MOUTH and DOOR,Computes if the concepts MOUTH and DOOR are expressed with the same form in a language (i.e. they are colexified),,MOUTH,DOOR,
MouthAndEdge,Colexification of MOUTH and EDGE,Computes if the concepts MOUTH and EDGE are expressed with the same form in a language (i.e. they are colexified),,MOUTH,EDGE,
MouthAndHole,Colexification of MOUTH and HOLE,Computes if the concepts MOUTH and HOLE are expressed with the same form in a language (i.e. they are colexified),,MOUTH,HOLE,
NapeofneckAndHill,Colexification of NAPE (OF NECK) and HILL,Computes if the concepts NAPE (OF NECK) and HILL are expressed with the same form in a language (i.e. they are colexified),,NAPE (OF NECK),HILL,
NeckAndCollar,Colexification of NECK and COLLAR,Computes if the concepts NECK and COLLAR are expressed with the same form in a language (i.e. they are colexified),,NECK,COLLAR,
NippleAndSeed,Colexification of NIPPLE and SEED,Computes if the concepts NIPPLE and SEED are expressed with the same form in a language (i.e. they are colexified),,NIPPLE,SEED,
NoseAndCape,Colexification of NOSE and CAPE,Computes if the concepts NOSE and CAPE are expressed with the same form in a language (i.e. they are colexified),,NOSE,CAPE,
PenisAndSeed,Colexification of PENIS and SEED,Computes if the concepts PENIS and SEED are expressed with the same form in a language (i.e. they are colexified),,PENIS,SEED,
RibAndShore,Colexification of RIB and SHORE,Computes if the concepts RIB and SHORE are expressed with the same form in a language (i.e. they are colexified),,RIB,SHORE,
RibAndSide,Colexification of RIB and SIDE,Computes if the concepts RIB and SIDE are expressed with the same form in a language (i.e. they are colexified),,RIB,SIDE,
ShoulderAndAxe,Colexification of SHOULDER and AXE,Computes if the concepts SHOULDER and AXE are expressed with the same form in a language (i.e. they are colexified),,SHOULDER,AXE,
ShoulderbladeAndOar,Colexification of SHOULDERBLADE and OAR,Computes if the concepts SHOULDERBLADE and OAR are expressed with the same form in a language (i.e. they are colexified),,SHOULDERBLADE,OAR,
ShoulderbladeAndPaddle,Colexification of SHOULDERBLADE and PADDLE,Computes if the concepts SHOULDERBLADE and PADDLE are expressed with the same form in a language (i.e. they are colexified),,SHOULDERBLADE,PADDLE,
ShoulderbladeAndShovel,Colexification of SHOULDERBLADE and SHOVEL,Computes if the concepts SHOULDERBLADE and SHOVEL are expressed with the same form in a language (i.e. they are colexified),,SHOULDERBLADE,SHOVEL,
ShoulderbladeAndSpade,Colexification of SHOULDERBLADE and SPADE,Computes if the concepts SHOULDERBLADE and SPADE are expressed with the same form in a language (i.e. they are colexified),,SHOULDERBLADE,SPADE,
SkinAndBark,Colexification of SKIN and BARK,Computes if the concepts SKIN and BARK are expressed with the same form in a language (i.e. they are colexified),,SKIN,BARK,
SkinAndBasket,Colexification of SKIN and BASKET,Computes if the concepts SKIN and BASKET are expressed with the same form in a language (i.e. they are colexified),,SKIN,BASKET,
SkinAndBook,Colexification of SKIN and BOOK,Computes if the concepts SKIN and BOOK are expressed with the same form in a language (i.e. they are colexified),,SKIN,BOOK,
SkinAndLeaf,Colexification of SKIN and LEAF,Computes if the concepts SKIN and LEAF are expressed with the same form in a language (i.e. they are colexified),,SKIN,LEAF,
SkinAndLeather,Colexification of SKIN and LEATHER,Computes if the concepts SKIN and LEATHER are expressed with the same form in a language (i.e. they are colexified),,SKIN,LEATHER,
SkinAndLoincloth,Colexification of SKIN and LOINCLOTH,Computes if the concepts SKIN and LOINCLOTH are expressed with the same form in a language (i.e. they are colexified),,SKIN,LOINCLOTH,
SkinAndShell,Colexification of SKIN and SHELL,Computes if the concepts SKIN and SHELL are expressed with the same form in a language (i.e. they are colexified),,SKIN,SHELL,
SkinAndSkinoffruit,Colexification of SKIN and SKIN (OF FRUIT),Computes if the concepts SKIN and SKIN (OF FRUIT) are expressed with the same form in a language (i.e. they are colexified),,SKIN,SKIN (OF FRUIT),
SkullAndTop,Colexification of SKULL and TOP,Computes if the concepts SKULL and TOP are expressed with the same form in a language (i.e. they are colexified),,SKULL,TOP,
TendonAndRoot,Colexification of TENDON and ROOT,Computes if the concepts TENDON and ROOT are expressed with the same form in a language (i.e. they are colexified),,TENDON,ROOT,
TendonAndRope,Colexification of TENDON and ROPE,Computes if the concepts TENDON and ROPE are expressed with the same form in a language (i.e. they are colexified),,TENDON,ROPE,
TesticlesAndBall,Colexification of TESTICLES and BALL,Computes if the concepts TESTICLES and BALL are expressed with the same form in a language (i.e. they are colexified),,TESTICLES,BALL,
TesticlesAndEgg,Colexification of TESTICLES and EGG,Computes if the concepts TESTICLES and EGG are expressed with the same form in a language (i.e. they are colexified),,TESTICLES,EGG,
TesticlesAndFruit,Colexification of TESTICLES and FRUIT,Computes if the concepts TESTICLES and FRUIT are expressed with the same form in a language (i.e. they are colexified),,TESTICLES,FRUIT,
TesticlesAndSeed,Colexification of TESTICLES and SEED,Computes if the concepts TESTICLES and SEED are expressed with the same form in a language (i.e. they are colexified),,TESTICLES,SEED,
ThroatAndCollar,Colexification of THROAT and COLLAR,Computes if the concepts THROAT and COLLAR are expressed with the same form in a language (i.e. they are colexified),,THROAT,COLLAR,
TongueAndFlame,Colexification of TONGUE and FLAME,Computes if the concepts TONGUE and FLAME are expressed with the same form in a language (i.e. they are colexified),,TONGUE,FLAME,
ToothAndLeaf,Colexification of TOOTH and LEAF,Computes if the concepts TOOTH and LEAF are expressed with the same form in a language (i.e. they are colexified),,TOOTH,LEAF,
ToothAndSeed,Colexification of TOOTH and SEED,Computes if the concepts TOOTH and SEED are expressed with the same form in a language (i.e. they are colexified),,TOOTH,SEED,
ToothAndSproutshoot,Colexification of TOOTH and SPROUT (SHOOT),Computes if the concepts TOOTH and SPROUT (SHOOT) are expressed with the same form in a language (i.e. they are colexified),,TOOTH,SPROUT (SHOOT),
ToothAndSun,Colexification of TOOTH and SUN,Computes if the concepts TOOTH and SUN are expressed with the same form in a language (i.e. they are colexified),,TOOTH,SUN,
VeinAndRoot,Colexification of VEIN and ROOT,Computes if the concepts VEIN and ROOT are expressed with the same form in a language (i.e. they are colexified),,VEIN,ROOT,
WaistAndBelt,Colexification of WAIST and BELT,Computes if the concepts WAIST and BELT are expressed with the same form in a language (i.e. they are colexified),,WAIST,BELT,
WaistAndPloughinstrument,Colexification of WAIST and PLOUGH (INSTRUMENT),Computes if the concepts WAIST and PLOUGH (INSTRUMENT) are expressed with the same form in a language (i.e. they are colexified),,WAIST,PLOUGH (INSTRUMENT),
WaistAndSpade,Colexification of WAIST and SPADE,Computes if the concepts WAIST and SPADE are expressed with the same form in a language (i.e. they are colexified),,WAIST,SPADE,
