ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment
abrahammonpa-MonpaChangprong-92_foot-1,dakp1242,lemin,,,FOOT,,
abrahammonpa-MonpaChangprong-96_fruit-1,dakp1242,ʃiŋdo,,,FRUIT,,
abrahammonpa-MonpaDirang-103_hair-1,tsha1245,tʃham,,,HAIR (HEAD),,
abrahammonpa-MonpaDirang-105_hand-1,tsha1245,gaɾaŋ,,,HAND,,
abrahammonpa-MonpaDirang-106_head-1,tsha1245,ʃjaɾaŋ,,,HEAD,,
abrahammonpa-MonpaDirang-107_heartorgan-1,tsha1245,timnuŋ,,,HEART,,
abrahammonpa-MonpaDirang-121_leaf-1,tsha1245,ʃawa,,,LEAF,,
abrahammonpa-MonpaDirang-140_mountain-1,tsha1245,ɾju,,,MOUNTAIN,,
abrahammonpa-MonpaDirang-141_mouth-1,tsha1245,nowaŋ,,,MOUTH,,
abrahammonpa-MonpaDirang-146_neck-1,tsha1245,ŋaŋ,,,NECK,,
abrahammonpa-MonpaDirang-152_nose-1,tsha1245,nawuŋ,,,NOSE,,
abrahammonpa-MonpaDirang-15_axe-1,tsha1245,beŋɾa,,,AXE,,
abrahammonpa-MonpaDirang-16_back-1,tsha1245,tʃhiŋkhaŋ,,,BACK,,
abrahammonpa-MonpaDirang-177_roof-1,tsha1245,pheithuŋ,,,ROOF,,
abrahammonpa-MonpaDirang-178_root-1,tsha1245,ra,,,ROOT,,
abrahammonpa-MonpaDirang-184_seed-1,tsha1245,li,,,SEED,,
abrahammonpa-MonpaDirang-190_skin-1,tsha1245,moŋnaŋ,,,SKIN,,
abrahammonpa-MonpaDirang-191_sky-1,tsha1245,ŋam,,,SKY,,
abrahammonpa-MonpaDirang-204_star-1,tsha1245,karma,,,STAR,,
abrahammonpa-MonpaDirang-207_sun-1,tsha1245,ŋam,,,SUN,,
abrahammonpa-MonpaDirang-217_thorn-1,tsha1245,zu,,,THORN,,
abrahammonpa-MonpaDirang-22_belly-1,tsha1245,putʃi,,,BELLY,,
abrahammonpa-MonpaDirang-279_tongue-1,tsha1245,leh̥,,,TONGUE,,
abrahammonpa-MonpaDirang-280_tooth-1,tsha1245,ʃah̩,,,TOOTH,,
abrahammonpa-MonpaDirang-281_tree-1,tsha1245,ʃiŋ,,,TREE,,
abrahammonpa-MonpaDirang-32_body-1,tsha1245,luspu,,,BODY,,
abrahammonpa-MonpaDirang-33_bone-1,tsha1245,khaŋ,,,BONE,,
abrahammonpa-MonpaDirang-35_branch-1,tsha1245,da,,,BRANCH,,
abrahammonpa-MonpaDirang-62_door-1,tsha1245,kotaŋ,,,DOOR,,
abrahammonpa-MonpaDirang-66_ear-1,tsha1245,negaŋ,,,EAR,,
abrahammonpa-MonpaDirang-67_egg-1,tsha1245,goitham,,,EGG,,
abrahammonpa-MonpaDirang-70_elbow-1,tsha1245,gaɾaŋkili,,,ELBOW,,
abrahammonpa-MonpaDirang-77_eye-1,tsha1245,miŋ,,,EYE,,
abrahammonpa-MonpaDirang-78_face-1,tsha1245,doŋpa,,,FACE,,
abrahammonpa-MonpaDirang-86_fingernail-1,tsha1245,tʃinaŋ,,,FINGERNAIL,,
abrahammonpa-MonpaDirang-87_fire-1,tsha1245,mi,,,FIRE,,
abrahammonpa-MonpaDirang-92_foot-1,tsha1245,bifaɾa,,,FOOT,,
abrahammonpa-MonpaDirang-96_fruit-1,tsha1245,goŋ,,,FRUIT,,
abrahammonpa-MonpaKalaktang-103_hair-1,kala1376,tʃham,,,HAIR (HEAD),,
abrahammonpa-MonpaKalaktang-105_hand-1,kala1376,găzaŋ,,,HAND,,
abrahammonpa-MonpaKalaktang-106_head-1,kala1376,ɕaɾam,,,HEAD,,
abrahammonpa-MonpaKalaktang-107_heartorgan-1,kala1376,thiŋlom,,,HEART,,
abrahammonpa-MonpaKalaktang-121_leaf-1,kala1376,ʃiŋʃaʋa,,,LEAF,,
abrahammonpa-MonpaKalaktang-140_mountain-1,kala1376,zoɾ,,,MOUNTAIN,,
abrahammonpa-MonpaKalaktang-141_mouth-1,kala1376,noaŋ,,,MOUTH,,
abrahammonpa-MonpaKalaktang-146_neck-1,kala1376,ŋam,,,NECK,,
abrahammonpa-MonpaKalaktang-152_nose-1,kala1376,nahum,,,NOSE,,
abrahammonpa-MonpaKalaktang-15_axe-1,kala1376,beŋɾa,,,AXE,,
abrahammonpa-MonpaKalaktang-16_back-1,kala1376,tʃhiŋkhaŋ,,,BACK,,
abrahammonpa-MonpaKalaktang-177_roof-1,kala1376,phaibŭŋnaŋ,,,ROOF,,
abrahammonpa-MonpaKalaktang-178_root-1,kala1376,tʃa,,,ROOT,,
abrahammonpa-MonpaKalaktang-184_seed-1,kala1376,li,,,SEED,,
abrahammonpa-MonpaKalaktang-190_skin-1,kala1376,moŋnaŋ,,,SKIN,,
abrahammonpa-MonpaKalaktang-191_sky-1,kala1376,ŋamt̪uŋ,,,SKY,,
abrahammonpa-MonpaKalaktang-204_star-1,kala1376,karma,,,STAR,,
abrahammonpa-MonpaKalaktang-207_sun-1,kala1376,ŋam,,,SUN,,
abrahammonpa-MonpaKalaktang-217_thorn-1,kala1376,zu,,,THORN,,
abrahammonpa-MonpaKalaktang-22_belly-1,kala1376,pholoŋ,,,BELLY,,
abrahammonpa-MonpaKalaktang-279_tongue-1,kala1376,le,,,TONGUE,,
abrahammonpa-MonpaKalaktang-280_tooth-1,kala1376,ɕa,,,TOOTH,,
abrahammonpa-MonpaKalaktang-281_tree-1,kala1376,ʃiŋ,,,TREE,,
abrahammonpa-MonpaKalaktang-32_body-1,kala1376,luspu,,,BODY,,
abrahammonpa-MonpaKalaktang-33_bone-1,kala1376,khaŋ,,,BONE,,
abrahammonpa-MonpaKalaktang-35_branch-1,kala1376,alak,,,BRANCH,,
abrahammonpa-MonpaKalaktang-62_door-1,kala1376,kotaŋ,,,DOOR,,
abrahammonpa-MonpaKalaktang-66_ear-1,kala1376,na,,,EAR,,
abrahammonpa-MonpaKalaktang-67_egg-1,kala1376,gotham,,,EGG,,
abrahammonpa-MonpaKalaktang-70_elbow-1,kala1376,găzaŋkhlogpa,,,ELBOW,,
abrahammonpa-MonpaKalaktang-77_eye-1,kala1376,miŋ,,,EYE,,
abrahammonpa-MonpaKalaktang-78_face-1,kala1376,doŋpa,,,FACE,,
abrahammonpa-MonpaKalaktang-86_fingernail-1,kala1376,găzaŋtʃiŋna,,,FINGERNAIL,,
abrahammonpa-MonpaKalaktang-87_fire-1,kala1376,mi,,,FIRE,,
abrahammonpa-MonpaKalaktang-92_foot-1,kala1376,bhi,,,FOOT,,
abrahammonpa-MonpaKalaktang-96_fruit-1,kala1376,se,,,FRUIT,,
abrahammonpa-NamreiBisai-103_hair-1,miji1239,gopal,,,HAIR (HEAD),,
abrahammonpa-NamreiBisai-105_hand-1,miji1239,gi,,,HAND,,
abrahammonpa-NamreiBisai-106_head-1,miji1239,mogou,,,HEAD,,
abrahammonpa-NamreiBisai-107_heartorgan-1,miji1239,luŋvəuk,,,HEART,,
abrahammonpa-NamreiBisai-121_leaf-1,miji1239,golap,,,LEAF,,
abrahammonpa-NamreiBisai-140_mountain-1,miji1239,poŋ,,,MOUNTAIN,,
abrahammonpa-NamreiBisai-141_mouth-1,miji1239,ɲek,,,MOUTH,,
abrahammonpa-NamreiBisai-146_neck-1,miji1239,domə,,,NECK,,
abrahammonpa-NamreiBisai-152_nose-1,miji1239,nebijoŋ,,,NOSE,,
abrahammonpa-NamreiBisai-15_axe-1,miji1239,phĕlu,,,AXE,,
abrahammonpa-NamreiBisai-16_back-1,miji1239,kəbaŋ,,,BACK,,
abrahammonpa-NamreiBisai-177_roof-1,miji1239,təkroŋ,,,ROOF,,
abrahammonpa-NamreiBisai-178_root-1,miji1239,gokhrən,,,ROOT,,
abrahammonpa-NamreiBisai-184_seed-1,miji1239,tailoi,,,SEED,,
abrahammonpa-NamreiBisai-190_skin-1,miji1239,məpre,,,SKIN,,
abrahammonpa-NamreiBisai-191_sky-1,miji1239,gijaŋ,,,SKY,,
abrahammonpa-NamreiBisai-204_star-1,miji1239,nitʃoŋbijoŋ,,,STAR,,
abrahammonpa-NamreiBisai-207_sun-1,miji1239,dʒoʔ,,,SUN,,
abrahammonpa-NamreiBisai-207_sun-2,miji1239,ʃovogram,,,SUN,,
abrahammonpa-NamreiBisai-217_thorn-1,miji1239,gəzau,,,THORN,,
abrahammonpa-NamreiBisai-22_belly-1,miji1239,nəgu,,,BELLY,,
abrahammonpa-NamreiBisai-279_tongue-1,miji1239,jakhe,,,TONGUE,,
abrahammonpa-NamreiBisai-280_tooth-1,miji1239,tə,,,TOOTH,,
abrahammonpa-NamreiBisai-281_tree-1,miji1239,gonoi,,,TREE,,
abrahammonpa-NamreiBisai-32_body-1,miji1239,ʒai,,,BODY,,
abrahammonpa-NamreiBisai-33_bone-1,miji1239,mariaŋ,,,BONE,,
abrahammonpa-NamreiBisai-35_branch-1,miji1239,gonotʃaŋ,,,BRANCH,,
abrahammonpa-NamreiBisai-62_door-1,miji1239,banpi,,,DOOR,,
abrahammonpa-NamreiBisai-66_ear-1,miji1239,dʒo,,,EAR,,
abrahammonpa-NamreiBisai-67_egg-1,miji1239,doriet,,,EGG,,
abrahammonpa-NamreiBisai-70_elbow-1,miji1239,patʃeka,,,ELBOW,,
abrahammonpa-NamreiBisai-77_eye-1,miji1239,mẽ,,,EYE,,
abrahammonpa-NamreiBisai-78_face-1,miji1239,khamija,,,FACE,,
abrahammonpa-NamreiBisai-86_fingernail-1,miji1239,giten,,,FINGERNAIL,,
abrahammonpa-NamreiBisai-87_fire-1,miji1239,mai,,,FIRE,,
abrahammonpa-NamreiBisai-92_foot-1,miji1239,lei,,,FOOT,,
abrahammonpa-NamreiBisai-96_fruit-1,miji1239,gutan,,,FRUIT,,
allenbai-Eryuan-114_seed-1,eryu1239,tsɤ³³,,,SEED,,
allenbai-Eryuan-115_root-1,eryu1239,me⁴²,,,ROOT,,
allenbai-Eryuan-116_leaf-1,eryu1239,ʂe⁴⁴,,,LEAF,,
allenbai-Eryuan-117_shootsprout-1,eryu1239,ŋɛ²¹,,,SPROUT (SHOOT),,
allenbai-Eryuan-119_fruit-1,eryu1239,kʰɔ³³,,,FRUIT,,
allenbai-Eryuan-122_thorn-1,eryu1239,tɕʰi³¹,,,THORN,,
allenbai-Eryuan-123_body-1,eryu1239,tsʰɿ⁵⁵kɯ³¹,,,BODY,,
allenbai-Eryuan-124_head-1,eryu1239,tɯ²¹pɔ²¹,,,HEAD,,
allenbai-Eryuan-125_hair-1,eryu1239,tɯ²¹ma³⁵,,,HAIR (HEAD),,
allenbai-Eryuan-126_face-1,eryu1239,tɕy³³ŋue³³,,,FACE,,
allenbai-Eryuan-127_eye-1,eryu1239,ŋue³³,,,EYE,,
allenbai-Eryuan-128_nose-1,eryu1239,pi²¹tse⁴⁴,,,NOSE,,
allenbai-Eryuan-129_ear-1,eryu1239,ɲɤ³³pi²¹,,,EAR,,
allenbai-Eryuan-130_mouth-1,eryu1239,tɕy³³ka³⁵tɯ²¹,,,MOUTH,,
allenbai-Eryuan-131_tooth-1,eryu1239,tsʰɿ³³pʰa³³,,,TOOTH,,
allenbai-Eryuan-132_tongue-1,eryu1239,tʂe⁴²pʰi³¹,,,TONGUE,,
allenbai-Eryuan-134_neck-1,eryu1239,ɕɛ³³kʲɛ³⁵,,,NECK,,
allenbai-Eryuan-135_hand-1,eryu1239,ʂɯ³³,,,HAND,,
allenbai-Eryuan-137_fingernail-1,eryu1239,ʂɯ³³tɯ²¹kʲɛ⁴⁴,,,FINGERNAIL,,
allenbai-Eryuan-139_bellystomach-1,eryu1239,fɤ⁴⁴,,,BELLY,,
allenbai-Eryuan-141_waist-1,eryu1239,ji³⁵kua⁴⁴tʂɤ⁴⁴,,,WAIST,,
allenbai-Eryuan-142_foot-1,eryu1239,ko⁴⁴,,,FOOT,,
allenbai-Eryuan-144_bone-1,eryu1239,kua⁴⁴tɯ²¹,,,BONE,,
allenbai-Eryuan-146_kidney-1,eryu1239,kʰɯ³¹tsɿ³³,,,KIDNEY,,
allenbai-Eryuan-147_intestinegut-1,eryu1239,tʂɔ²¹,,,INTESTINES,,
allenbai-Eryuan-149_heart-1,eryu1239,ɕi⁵⁵,,,HEART,,
allenbai-Eryuan-150_liver-1,eryu1239,ka³⁵,,,LIVER,,
allenbai-Eryuan-151_lung-1,eryu1239,pʰia⁴⁴,,,LUNG,,
allenbai-Eryuan-16_lake-1,eryu1239,kɔ²¹,,,LAKE,,
allenbai-Eryuan-175_doorcattle-1,eryu1239,me²¹,,,DOOR,,
allenbai-Eryuan-182_earring-1,eryu1239,ɲɤ³³kɤ³¹tsa²¹,,,EARRING,,
allenbai-Eryuan-186_shoe-1,eryu1239,ŋe²¹,,,SHOE,,
allenbai-Eryuan-1_sky-1,eryu1239,xe⁵⁵,,,SKY,,
allenbai-Eryuan-209_ploughimplement-1,eryu1239,kʲi³⁵ta⁴²,,,PLOUGH (INSTRUMENT),,
allenbai-Eryuan-222_firewood-1,eryu1239,ɕi⁵⁵,,,FIREWOOD,,
allenbai-Eryuan-226_bed-1,eryu1239,tʂɔ³¹,,,BED,,
allenbai-Eryuan-22_mountain-1,eryu1239,ʂɤ⁴²,,,MOUNTAIN,,
allenbai-Eryuan-235_pen-1,eryu1239,fɤ⁴⁴mɯ⁴⁴kua⁴²,,,PEN,,
allenbai-Eryuan-236_book-1,eryu1239,sɤ³⁵tsʰuɛ⁴⁴,,,BOOK,,
allenbai-Eryuan-24_fire-1,eryu1239,xue³³,,,FIRE,,
allenbai-Eryuan-2_sun-1,eryu1239,ɲi⁴⁴pʰi³¹,,,SUN,,
allenbai-Eryuan-4_star-1,eryu1239,ɕɛ⁵⁵ɣɔ³³,,,STAR,,
allenbai-Eryuan-84_egg-1,eryu1239,se⁴²,,,EGG,,
allenbai-Eryuan-89_tree-1,eryu1239,tʂɯ³¹,,,TREE,,
allenbai-Heqing-114_seed-1,heqi1238,tsũɔ̃³³,,,SEED,,
allenbai-Heqing-115_root-1,heqi1238,mi⁴⁴,,,ROOT,,
allenbai-Heqing-116_leaf-1,heqi1238,sʰe⁴⁴,,,LEAF,,
allenbai-Heqing-117_shootsprout-1,heqi1238,ŋɛ²¹,,,SPROUT (SHOOT),,
allenbai-Heqing-119_fruit-1,heqi1238,kʰuɔ³³,,,FRUIT,,
allenbai-Heqing-122_thorn-1,heqi1238,tɕʰi³¹,,,THORN,,
allenbai-Heqing-123_body-1,heqi1238,tsʰɿ⁵⁵kɯ³¹,,,BODY,,
allenbai-Heqing-124_head-1,heqi1238,tɯ²¹pɔ²¹,,,HEAD,,
allenbai-Heqing-125_hair-1,heqi1238,ɕa⁴⁴,,,HAIR (HEAD),,
allenbai-Heqing-126_face-1,heqi1238,tsõu³³wẽ³³,,,FACE,,
allenbai-Heqing-127_eye-1,heqi1238,wẽ³³,,,EYE,,
allenbai-Heqing-128_nose-1,heqi1238,vɤ³¹tɯ²¹,,,NOSE,,
allenbai-Heqing-129_ear-1,heqi1238,ɲi⁴⁴tõ⁴²,,,EAR,,
allenbai-Heqing-130_mouth-1,heqi1238,tsʰue³³kʰɔ̃⁴⁴,,,MOUTH,,
allenbai-Heqing-131_tooth-1,heqi1238,tsʰɿ³³pa⁴⁴,,,TOOTH,,
allenbai-Heqing-132_tongue-1,heqi1238,tse⁴²pʰĩ³¹,,,TONGUE,,
allenbai-Heqing-134_neck-1,heqi1238,miɛ⁴²tʰɔ̃⁵⁵tsuɔ⁴⁴,,,NECK,,
allenbai-Heqing-135_hand-1,heqi1238,sʰɯ³³,,,HAND,,
allenbai-Heqing-137_fingernail-1,heqi1238,sʰɯ³³tɯ²¹kɛ⁴²,,,FINGERNAIL,,
allenbai-Heqing-139_bellystomach-1,heqi1238,fɤ⁴⁴,,,BELLY,,
allenbai-Heqing-141_waist-1,heqi1238,ji⁵⁵kua⁴⁴tsuɔ⁴⁴,,,WAIST,,
allenbai-Heqing-142_foot-1,heqi1238,kou⁴⁴,,,FOOT,,
allenbai-Heqing-144_bone-1,heqi1238,kua⁴⁴tɯ²¹,,,BONE,,
allenbai-Heqing-146_kidney-1,heqi1238,jɔ³⁵tsɿ³³,,,KIDNEY,,
allenbai-Heqing-147_intestinegut-1,heqi1238,tsɔ̃u²¹,,,INTESTINES,,
allenbai-Heqing-149_heart-1,heqi1238,ɕʰĩ⁵⁵,,,HEART,,
allenbai-Heqing-150_liver-1,heqi1238,kã⁵⁵,,,LIVER,,
allenbai-Heqing-151_lung-1,heqi1238,pʰia⁴⁴,,,LUNG,,
allenbai-Heqing-16_lake-1,heqi1238,kɔ²¹,,,LAKE,,
allenbai-Heqing-175_doorcattle-1,heqi1238,me²¹,,,DOOR,,
allenbai-Heqing-182_earring-1,heqi1238,jĩ³³kɔ̃ũ⁴²,,,EARRING,,
allenbai-Heqing-186_shoe-1,heqi1238,ŋɛ²¹,,,SHOE,,
allenbai-Heqing-1_sky-1,heqi1238,xʰẽ⁵⁵,,,SKY,,
allenbai-Heqing-209_ploughimplement-1,heqi1238,tɕi⁵⁵kɯ³¹,,,PLOUGH (INSTRUMENT),,
allenbai-Heqing-222_firewood-1,heqi1238,ɕʰĩ⁵⁵,,,FIREWOOD,,
allenbai-Heqing-226_bed-1,heqi1238,tsɔ̃ũ²¹,,,BED,,
allenbai-Heqing-22_mountain-1,heqi1238,suɔ⁴²,,,MOUNTAIN,,
allenbai-Heqing-235_pen-1,heqi1238,fɤ⁴⁴,,,PEN,,
allenbai-Heqing-236_book-1,heqi1238,suɔ³⁵tɕʰuɛ⁴⁴,,,BOOK,,
allenbai-Heqing-24_fire-1,heqi1238,xʰue³³,,,FIRE,,
allenbai-Heqing-2_sun-1,heqi1238,jĩ⁴⁴pʰĩ³¹,,,SUN,,
allenbai-Heqing-4_star-1,heqi1238,ɕʰɛ̃⁵⁵kʰɔ³³,,,STAR,,
allenbai-Heqing-84_egg-1,heqi1238,sẽ⁴²,,,EGG,,
allenbai-Heqing-89_tree-1,heqi1238,tsɯ³¹,,,TREE,,
allenbai-Jianchuan-114_seed-1,jian1239,tsɤ̃³³,,,SEED,,
allenbai-Jianchuan-115_root-1,jian1239,mi⁴⁴,,,ROOT,,
allenbai-Jianchuan-116_leaf-1,jian1239,se⁴⁴,,,LEAF,,
allenbai-Jianchuan-117_shootsprout-1,jian1239,ŋɛ²¹,,,SPROUT (SHOOT),,
allenbai-Jianchuan-119_fruit-1,jian1239,kou³³,,,FRUIT,,
allenbai-Jianchuan-122_thorn-1,jian1239,tɕʰi³¹,,,THORN,,
allenbai-Jianchuan-123_body-1,jian1239,tsʰɛ̃⁵⁵kʰɯ³¹,,,BODY,,
allenbai-Jianchuan-124_head-1,jian1239,tɯ²¹po²¹,,,HEAD,,
allenbai-Jianchuan-125_hair-1,jian1239,tɯ²¹ma⁵⁵,,,HAIR (HEAD),,
allenbai-Jianchuan-126_face-1,jian1239,tɕi³³wẽ³³,,,FACE,,
allenbai-Jianchuan-127_eye-1,jian1239,wẽ³³,,,EYE,,
allenbai-Jianchuan-128_nose-1,jian1239,ɤ̃³¹kʰɤ⁴⁴tɯ⁴²,,,NOSE,,
allenbai-Jianchuan-129_ear-1,jian1239,jĩ³³tɯ²¹kũã⁵⁵,,,EAR,,
allenbai-Jianchuan-130_mouth-1,jian1239,tɕy³³kɛ⁵⁵,,,MOUTH,,
allenbai-Jianchuan-131_tooth-1,jian1239,tsɿ³³pa⁴⁴,,,TOOTH,,
allenbai-Jianchuan-132_tongue-1,jian1239,tse⁴²,,,TONGUE,,
allenbai-Jianchuan-134_neck-1,jian1239,kɤ⁴²mi⁴²tsɤ⁴⁴,,,NECK,,
allenbai-Jianchuan-135_hand-1,jian1239,sɯ³³,,,HAND,,
allenbai-Jianchuan-137_fingernail-1,jian1239,sɯ³³tɯ²¹kɛ⁴⁴,,,FINGERNAIL,,
allenbai-Jianchuan-139_bellystomach-1,jian1239,fɤ⁴⁴,,,BELLY,,
allenbai-Jianchuan-141_waist-1,jian1239,ji⁵⁵kua⁴⁴,,,WAIST,,
allenbai-Jianchuan-142_foot-1,jian1239,kou⁴⁴,,,FOOT,,
allenbai-Jianchuan-144_bone-1,jian1239,kua⁴⁴tɯ²¹,,,BONE,,
allenbai-Jianchuan-146_kidney-1,jian1239,ja⁵⁵tsɿ³³,,,KIDNEY,,
allenbai-Jianchuan-147_intestinegut-1,jian1239,tsõ²¹,,,INTESTINES,,
allenbai-Jianchuan-149_heart-1,jian1239,ɕĩ⁵⁵,,,HEART,,
allenbai-Jianchuan-150_liver-1,jian1239,kã⁵⁵,,,LIVER,,
